# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "0" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L1B.r1.gsnap_reads.nostrand.tab" "-F" "GTF" "aln/L1B.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L1B.r1.gsnap.bam
CLUG_01196	Supercontig_1.1	2391642	2392550	-	909	14
CLUG_01197	Supercontig_1.1	2393289	2399783	-	6495	1383
CLUG_01198	Supercontig_1.1	2394976	2395935	+	960	0
CLUG_01199	Supercontig_1.1	2395104	2395907	+	804	0
CLUG_01200	Supercontig_1.1	2404448	2406016	+	1569	402
CLUG_01201	Supercontig_1.1	2406288	2407745	+	1458	533
CLUG_01202	Supercontig_1.1	2407951	2409309	+	1359	898
CLUG_01203	Supercontig_1.1	2409360	2410019	+	660	1029
CLUG_01204	Supercontig_1.1	2412351	2413046	+	696	5
CLUG_01205	Supercontig_1.1	2413913	2415598	+	1686	43
CLUG_01206	Supercontig_1.1	2415969	2417987	+	2019	117
CLUG_01207	Supercontig_1.1	2418345	2419931	-	1587	1
CLUG_01208	Supercontig_1.1	2420383	2422014	+	1632	2
CLUG_01209	Supercontig_1.1	2422705	2423553	-	849	4
CLUG_01210	Supercontig_1.2	602	1402	-	801	257
CLUG_01211	Supercontig_1.2	3191	4540	-	1350	415
CLUG_01212	Supercontig_1.2	5965	6720	-	756	2382
CLUG_01213	Supercontig_1.2	6852	8243	-	1392	1357
CLUG_01214	Supercontig_1.2	9127	10989	+	1863	6663
CLUG_01215	Supercontig_1.2	12278	15061	+	2784	2978
CLUG_01216	Supercontig_1.2	15116	16087	-	972	1675
CLUG_01217	Supercontig_1.2	17014	17973	-	960	1341
CLUG_01218	Supercontig_1.2	18538	19467	+	930	322
CLUG_01219	Supercontig_1.2	19639	21141	+	1503	3216
CLUG_01220	Supercontig_1.2	22030	24324	-	2295	2997
CLUG_01221	Supercontig_1.2	24988	26136	-	1149	1705
CLUG_01222	Supercontig_1.2	26222	26815	-	594	543
CLUG_01223	Supercontig_1.2	27166	28095	+	930	990
CLUG_01224	Supercontig_1.2	28367	30604	+	2238	5338
CLUG_01225	Supercontig_1.2	31780	32742	-	963	2507
CLUG_01226	Supercontig_1.2	34133	35476	+	1344	88753
CLUG_01227	Supercontig_1.2	35710	37314	+	1605	1681
CLUG_01228	Supercontig_1.2	37409	38194	+	786	601
CLUG_01229	Supercontig_1.2	38248	38847	-	600	3481
CLUG_01230	Supercontig_1.2	39348	40955	-	1608	5755
CLUG_01231	Supercontig_1.2	41045	41554	-	510	61
CLUG_01232	Supercontig_1.2	42250	42774	-	525	1489
CLUG_01233	Supercontig_1.2	43533	44393	-	861	6365
CLUG_01234	Supercontig_1.2;Supercontig_1.2	45408;46189	46144;46225	-;-	774	5213
CLUG_01235	Supercontig_1.2	47283	49280	+	1998	4236
CLUG_01236	Supercontig_1.2	50266	50742	+	477	6715
CLUG_01237	Supercontig_1.2	53624	54823	-	1200	8201
CLUG_01238	Supercontig_1.2	55051	57480	-	2430	2902
CLUG_01239	Supercontig_1.2	58870	59847	-	978	936
CLUG_01240	Supercontig_1.2	60312	61127	+	816	2684
CLUG_01241	Supercontig_1.2	61307	64426	+	3120	1380
CLUG_01242	Supercontig_1.2	64562	64780	-	219	353
CLUG_01243	Supercontig_1.2	65264	65902	+	639	3401
CLUG_01244	Supercontig_1.2	65955	68045	-	2091	1289
CLUG_01245	Supercontig_1.2	68449	69162	-	714	742
CLUG_01246	Supercontig_1.2	69392	70390	+	999	1027
CLUG_01247	Supercontig_1.2	70753	73116	+	2364	1207
CLUG_01248	Supercontig_1.2	73672	77025	+	3354	3790
CLUG_01249	Supercontig_1.2	77113	78819	-	1707	3629
CLUG_01250	Supercontig_1.2	78674	80308	-	1635	1801
CLUG_01251	Supercontig_1.2	80629	81756	-	1128	2170
CLUG_01252	Supercontig_1.2	81849	82919	-	1071	667
CLUG_01253	Supercontig_1.2	83094	84305	-	1212	1902
CLUG_01254	Supercontig_1.2	84776	86542	+	1767	2561
CLUG_01255	Supercontig_1.2	86647	89667	-	3021	3252
CLUG_01256	Supercontig_1.2	90333	91820	-	1488	4822
CLUG_01257	Supercontig_1.2	93030	94844	-	1815	2295
CLUG_01258	Supercontig_1.2	95205	96290	+	1086	1015
CLUG_01259	Supercontig_1.2	96674	97681	+	1008	314
CLUG_01260	Supercontig_1.2	98396	100021	+	1626	2448
CLUG_01261	Supercontig_1.2	100569	102977	-	2409	1106
CLUG_01262	Supercontig_1.2	104654	106222	-	1569	3894
CLUG_01263	Supercontig_1.2	106450	107721	-	1272	6800
CLUG_01264	Supercontig_1.2	108763	112110	-	3348	3206
CLUG_01265	Supercontig_1.2	112974	116711	+	3738	3321
CLUG_01266	Supercontig_1.2	116727	118214	-	1488	539
CLUG_01267	Supercontig_1.2	118699	119268	+	570	628
CLUG_01268	Supercontig_1.2	119312	121021	-	1710	1241
CLUG_01269	Supercontig_1.2	121307	124285	-	2979	10742
CLUG_01270	Supercontig_1.2	124781	125101	+	321	1034
CLUG_01271	Supercontig_1.2	125210	126751	-	1542	11744
CLUG_01272	Supercontig_1.2	127002	128249	-	1248	1040
CLUG_01273	Supercontig_1.2	130366	131007	-	642	1651
CLUG_01274	Supercontig_1.2	132568	134130	+	1563	1158
CLUG_01275	Supercontig_1.2	134512	136167	-	1656	16561
CLUG_01276	Supercontig_1.2	136579	137946	-	1368	12233
CLUG_01277	Supercontig_1.2	138657	140225	+	1569	1874
CLUG_01278	Supercontig_1.2	140365	141696	+	1332	354
CLUG_01279	Supercontig_1.2	142077	142886	+	810	2531
CLUG_01280	Supercontig_1.2	142945	143511	-	567	2125
CLUG_01281	Supercontig_1.2	144266	145288	-	1023	145319
CLUG_01282	Supercontig_1.2	145649	146257	+	609	28606
CLUG_01283	Supercontig_1.2	146618	147358	-	741	495
CLUG_01284	Supercontig_1.2	147914	150208	+	2295	4694
CLUG_01285	Supercontig_1.2	150466	151041	-	576	1036
CLUG_01286	Supercontig_1.2	151197	151622	+	426	1041
CLUG_01287	Supercontig_1.2	152042	153130	+	1089	2402
CLUG_01288	Supercontig_1.2	153277	153933	+	657	668
CLUG_01289	Supercontig_1.2	153943	154758	-	816	619
CLUG_01290	Supercontig_1.2	154899	155771	-	873	594
CLUG_01291	Supercontig_1.2	156603	158462	-	1860	2170
CLUG_01292	Supercontig_1.2	158804	159625	-	822	1902
CLUG_01293	Supercontig_1.2	159753	162443	-	2691	1481
CLUG_01294	Supercontig_1.2	162635	164440	-	1806	2299
CLUG_01295	Supercontig_1.2	164529	165617	-	1089	776
CLUG_01296	Supercontig_1.2	165607	166437	-	831	374
CLUG_01297	Supercontig_1.2	167528	169399	+	1872	11377
CLUG_01298	Supercontig_1.2	170261	171754	+	1494	2087
CLUG_01299	Supercontig_1.2	171843	173447	-	1605	402
CLUG_01300	Supercontig_1.2	174443	177817	-	3375	2931
CLUG_01301	Supercontig_1.2	178678	180369	-	1692	2951
CLUG_01302	Supercontig_1.2	181352	182566	+	1215	901
CLUG_01303	Supercontig_1.2	182606	183544	-	939	646
CLUG_01304	Supercontig_1.2	184051	184980	-	930	3722
CLUG_01305	Supercontig_1.2	185219	188326	-	3108	1561
CLUG_01306	Supercontig_1.2	188779	189933	+	1155	2237
CLUG_01307	Supercontig_1.2	190332	191522	+	1191	7151
CLUG_01308	Supercontig_1.2	192151	194574	+	2424	5385
CLUG_01309	Supercontig_1.2	194835	195533	+	699	8491
CLUG_01310	Supercontig_1.2	195935	197482	-	1548	1639
CLUG_01311	Supercontig_1.2	198654	199718	-	1065	2606
CLUG_01312	Supercontig_1.2	200081	200842	-	762	12
CLUG_01313	Supercontig_1.2	201088	201519	+	432	202
CLUG_01314	Supercontig_1.2	201638	202330	-	693	24083
CLUG_01315	Supercontig_1.2	203115	203936	-	822	2068
CLUG_01316	Supercontig_1.2	204637	206970	-	2334	2835
CLUG_01317	Supercontig_1.2	207387	208223	-	837	1428
CLUG_01318	Supercontig_1.2	208845	210401	+	1557	1779
CLUG_01319	Supercontig_1.2	211276	221010	+	9735	9490
CLUG_01320	Supercontig_1.2	221141	221482	-	342	10423
CLUG_01321	Supercontig_1.2	222667	226041	+	3375	2856
CLUG_01322	Supercontig_1.2	226086	227297	+	1212	1408
CLUG_01323	Supercontig_1.2	227309	228703	-	1395	3948
CLUG_01324	Supercontig_1.2	228976	229623	+	648	789
CLUG_01325	Supercontig_1.2	230131	231201	+	1071	3359
CLUG_01326	Supercontig_1.2	231284	231547	-	264	23261
CLUG_01327	Supercontig_1.2	232387	233829	+	1443	6373
CLUG_01328	Supercontig_1.2	233938	234909	+	972	1214
CLUG_01329	Supercontig_1.2	235223	239476	-	4254	4695
CLUG_01330	Supercontig_1.2	239513	241003	-	1491	818
CLUG_01331	Supercontig_1.2	241907	243490	-	1584	2480
CLUG_01332	Supercontig_1.2	244165	247893	+	3729	2496
CLUG_01333	Supercontig_1.2	248184	250184	-	2001	2885
CLUG_01334	Supercontig_1.2	250977	252290	-	1314	1568
CLUG_01335	Supercontig_1.2	252687	253592	+	906	197
CLUG_01336	Supercontig_1.2	253898	256705	+	2808	1639
CLUG_01337	Supercontig_1.2	257139	260006	+	2868	4672
CLUG_01338	Supercontig_1.2	262386	265070	+	2685	275439
CLUG_01339	Supercontig_1.2	266600	268723	+	2124	2526
CLUG_01340	Supercontig_1.2	268951	271380	+	2430	2394
CLUG_01341	Supercontig_1.2	271738	273123	+	1386	4687
CLUG_01342	Supercontig_1.2	273239	273757	-	519	4439
CLUG_01343	Supercontig_1.2	274398	275747	+	1350	925
CLUG_01344	Supercontig_1.2	276098	278365	+	2268	1473
CLUG_01345	Supercontig_1.2	279218	280639	+	1422	266
CLUG_01346	Supercontig_1.2	279359	280150	-	792	0
CLUG_01347	Supercontig_1.2	279969	280457	+	489	0
CLUG_01348	Supercontig_1.2	281005	283713	-	2709	10571
CLUG_01349	Supercontig_1.2	284748	287051	+	2304	11731
CLUG_01350	Supercontig_1.2	287111	289453	-	2343	2991
CLUG_01351	Supercontig_1.2	289884	291299	+	1416	3311
CLUG_01352	Supercontig_1.2	291378	292598	-	1221	1500
CLUG_01353	Supercontig_1.2	294223	296409	+	2187	21405
CLUG_01354	Supercontig_1.2	296657	297124	+	468	410
CLUG_01355	Supercontig_1.2	297564	297983	+	420	761
CLUG_01356	Supercontig_1.2	298411	299769	-	1359	6694
CLUG_01357	Supercontig_1.2	298595	299059	+	465	0
CLUG_01358	Supercontig_1.2	301034	302299	-	1266	1571
CLUG_01359	Supercontig_1.2	303797	305896	+	2100	1590
CLUG_01360	Supercontig_1.2	306467	307486	+	1020	1208
CLUG_01361	Supercontig_1.2	307580	307933	+	354	995
CLUG_01362	Supercontig_1.2	308430	311180	+	2751	5973
CLUG_01363	Supercontig_1.2	311475	312080	+	606	2009
CLUG_01364	Supercontig_1.2	312460	314136	+	1677	3062
CLUG_01365	Supercontig_1.2	314288	315322	+	1035	3345
CLUG_01366	Supercontig_1.2	316040	316990	-	951	881
CLUG_01367	Supercontig_1.2	317413	319842	-	2430	2231
CLUG_01368	Supercontig_1.2	320781	321143	+	363	58926
CLUG_01369	Supercontig_1.2	321806	322774	+	969	579
CLUG_01370	Supercontig_1.2	322835	324154	-	1320	547
CLUG_01371	Supercontig_1.2	324253	329331	-	5079	4145
CLUG_01372	Supercontig_1.2	329396	330097	-	702	2231
CLUG_01373	Supercontig_1.2	330931	332178	-	1248	1317
CLUG_01374	Supercontig_1.2	333053	335905	-	2853	3717
CLUG_01375	Supercontig_1.2	337996	338613	+	618	883
CLUG_01376	Supercontig_1.2	338814	339299	+	486	810
CLUG_01377	Supercontig_1.2	339398	340309	-	912	2331
CLUG_01378	Supercontig_1.2	340116	341000	-	885	1186
CLUG_01379	Supercontig_1.2	341234	342157	-	924	717
CLUG_01380	Supercontig_1.2	342655	343158	-	504	3309
CLUG_01381	Supercontig_1.2	343349	345322	-	1974	7709
CLUG_01382	Supercontig_1.2	347072	349894	+	2823	1783
CLUG_01383	Supercontig_1.2	350656	352761	-	2106	11428
CLUG_01384	Supercontig_1.2	353981	355123	-	1143	453
CLUG_01385	Supercontig_1.2	355465	356811	-	1347	367
CLUG_01386	Supercontig_1.2	357894	358907	+	1014	239
CLUG_01387	Supercontig_1.2	359020	361533	-	2514	10753
CLUG_01388	Supercontig_1.2	361691	364534	-	2844	4143
CLUG_01389	Supercontig_1.2	364609	366417	-	1809	947
CLUG_01390	Supercontig_1.2	365728	366255	+	528	0
CLUG_01391	Supercontig_1.2	366287	368293	-	2007	887
CLUG_01392	Supercontig_1.2	369410	370408	+	999	224
CLUG_01393	Supercontig_1.2	371585	372583	+	999	739
CLUG_01394	Supercontig_1.2	374375	376888	+	2514	2852
CLUG_01395	Supercontig_1.2	377161	381249	-	4089	4565
CLUG_01396	Supercontig_1.2	382471	383040	-	570	3529
CLUG_01397	Supercontig_1.2	384347	385153	+	807	1095
CLUG_01398	Supercontig_1.2	386280	387416	+	1137	7119
CLUG_01399	Supercontig_1.2	388420	389208	+	789	7741
CLUG_01400	Supercontig_1.2	390531	392468	+	1938	123720
CLUG_01401	Supercontig_1.2	393669	394145	+	477	128
CLUG_01402	Supercontig_1.2	394198	396225	+	2028	12822
CLUG_01403	Supercontig_1.2	396514	397830	+	1317	439
CLUG_01404	Supercontig_1.2	398065	399234	+	1170	795
CLUG_01405	Supercontig_1.2	399493	399903	-	411	42853
CLUG_01406	Supercontig_1.2	400425	400736	+	312	34677
CLUG_01407	Supercontig_1.2	401005	401739	-	735	2051
CLUG_01408	Supercontig_1.2	402249	403001	+	753	13150
CLUG_01409	Supercontig_1.2	404697	406046	+	1350	33343
CLUG_01410	Supercontig_1.2	406434	407318	-	885	255
CLUG_01411	Supercontig_1.2	409109	410758	+	1650	6538
CLUG_01412	Supercontig_1.2	411613	413073	+	1461	593
CLUG_01413	Supercontig_1.2	413399	414298	-	900	6722
CLUG_01414	Supercontig_1.2	415257	417185	-	1929	1534
CLUG_01415	Supercontig_1.2	417934	419409	-	1476	3182
CLUG_01416	Supercontig_1.2	420056	420340	-	285	892
CLUG_01417	Supercontig_1.2	420529	423348	+	2820	2235
CLUG_01418	Supercontig_1.2	423424	424782	-	1359	777
CLUG_01419	Supercontig_1.2	425103	427253	+	2151	1872
CLUG_01420	Supercontig_1.2	427785	428729	-	945	666
CLUG_01421	Supercontig_1.2	428040	429080	+	1041	1
CLUG_01422	Supercontig_1.2	428929	429525	+	597	906
CLUG_01423	Supercontig_1.2	431851	432744	+	894	1048
CLUG_01424	Supercontig_1.2	433851	434714	+	864	1185
CLUG_01425	Supercontig_1.2	435453	436205	+	753	3366
CLUG_01426	Supercontig_1.2	437629	437931	-	303	248
CLUG_01427	Supercontig_1.2	439486	441126	+	1641	2338
CLUG_01428	Supercontig_1.2	441882	442505	+	624	20574
CLUG_01429	Supercontig_1.2	442402	443151	+	750	19101
CLUG_01430	Supercontig_1.2	442905	443375	+	471	17716
CLUG_01431	Supercontig_1.2	446629	447075	-	447	7408
CLUG_01432	Supercontig_1.2	447271	450126	-	2856	3086
CLUG_01433	Supercontig_1.2	450906	452417	-	1512	1285
CLUG_01434	Supercontig_1.2	453851	458023	+	4173	5234
CLUG_01435	Supercontig_1.2	459171	461840	-	2670	2060
CLUG_01436	Supercontig_1.2	462992	464458	-	1467	799
CLUG_01437	Supercontig_1.2	465095	466723	+	1629	1093
CLUG_01438	Supercontig_1.2	466843	467148	-	306	1281
CLUG_01439	Supercontig_1.2	467845	473910	+	6066	3071
CLUG_01440	Supercontig_1.2	474149	475630	-	1482	19690
CLUG_01441	Supercontig_1.2	476573	478543	+	1971	16045
CLUG_01442	Supercontig_1.2	479243	481612	-	2370	23984
CLUG_01443	Supercontig_1.2	484192	485862	+	1671	2527
CLUG_01444	Supercontig_1.2	486718	488595	-	1878	611
CLUG_01445	Supercontig_1.2	489041	489907	-	867	1194
CLUG_01446	Supercontig_1.2	490463	491893	+	1431	4101
CLUG_01447	Supercontig_1.2	492703	493836	+	1134	1295
CLUG_01448	Supercontig_1.2	493879	494628	-	750	688
CLUG_01449	Supercontig_1.2	495697	497649	+	1953	864
CLUG_01450	Supercontig_1.2	497930	499432	-	1503	3896
CLUG_01451	Supercontig_1.2	499935	502406	-	2472	1346
CLUG_01452	Supercontig_1.2	503044	507303	-	4260	881
CLUG_01453	Supercontig_1.2	507887	509305	+	1419	1190
CLUG_01454	Supercontig_1.2	509666	510517	-	852	1676
CLUG_01455	Supercontig_1.2	511433	511849	+	417	4873
CLUG_01456	Supercontig_1.2	512158	512850	-	693	1391
CLUG_01457	Supercontig_1.2	512290	512856	+	567	0
CLUG_01458	Supercontig_1.2	513329	514399	-	1071	344
CLUG_01459	Supercontig_1.2	515022	517316	-	2295	3797
CLUG_01460	Supercontig_1.2	517951	518862	+	912	4411
CLUG_01461	Supercontig_1.2	519787	521889	+	2103	4386
CLUG_01462	Supercontig_1.2	523759	527661	+	3903	14413
CLUG_01463	Supercontig_1.2	527763	531251	-	3489	4896
CLUG_01464	Supercontig_1.2	532678	533283	-	606	555
CLUG_01465	Supercontig_1.2	534056	534661	-	606	1622
CLUG_01466	Supercontig_1.2	534728	535960	-	1233	433
CLUG_01467	Supercontig_1.2	536858	537310	+	453	331
CLUG_01468	Supercontig_1.2	537561	538199	-	639	755
CLUG_01469	Supercontig_1.2	537787	538590	+	804	449
CLUG_01470	Supercontig_1.2	538423	539565	-	1143	1759
CLUG_01471	Supercontig_1.2	540037	540996	-	960	1323
CLUG_01472	Supercontig_1.2	541278	542510	-	1233	805
CLUG_01473	Supercontig_1.2	543000	543695	-	696	5328
CLUG_01474	Supercontig_1.2	544462	545520	+	1059	1662
CLUG_01475	Supercontig_1.2	546554	547228	+	675	23156
CLUG_01476	Supercontig_1.2	547613	548578	+	966	617
CLUG_01477	Supercontig_1.2	548686	551133	-	2448	2673
CLUG_01478	Supercontig_1.2	551378	552148	-	771	5149
CLUG_01479	Supercontig_1.2	552759	553955	-	1197	27687
CLUG_01480	Supercontig_1.2	554605	556089	-	1485	20733
CLUG_01481	Supercontig_1.2	558948	559127	-	180	740
CLUG_01482	Supercontig_1.2	559455	561689	+	2235	2240
CLUG_01483	Supercontig_1.2	562691	563245	+	555	10487
CLUG_01484	Supercontig_1.2	563916	565055	+	1140	1484
CLUG_01485	Supercontig_1.2	565428	566024	+	597	4173
CLUG_01486	Supercontig_1.2	567033	568289	+	1257	9515
CLUG_01487	Supercontig_1.2	568463	568615	-	153	2712
CLUG_01488	Supercontig_1.2	569959	570948	-	990	18972
CLUG_01489	Supercontig_1.2	572465	573070	+	606	1551
CLUG_01490	Supercontig_1.2	573072	573917	-	846	2701
CLUG_01491	Supercontig_1.2	574140	575270	-	1131	7312
CLUG_01492	Supercontig_1.2	576098	577936	+	1839	2675
CLUG_01493	Supercontig_1.2	578506	580767	+	2262	5678
CLUG_01494	Supercontig_1.2	580991	582793	-	1803	2689
CLUG_01495	Supercontig_1.2	583614	584924	-	1311	5322
CLUG_01496	Supercontig_1.2	585977	587044	+	1068	9
CLUG_01497	Supercontig_1.2	587100	588935	-	1836	7581
CLUG_01498	Supercontig_1.2	590055	592370	-	2316	4990
CLUG_01499	Supercontig_1.2	592442	595819	-	3378	2852
CLUG_01500	Supercontig_1.2	596183	596920	-	738	1709
CLUG_01501	Supercontig_1.2	597167	599860	-	2694	124214
CLUG_01502	Supercontig_1.2	600859	602220	-	1362	3919
CLUG_01503	Supercontig_1.2	602662	603801	-	1140	628
CLUG_01504	Supercontig_1.2	604545	606293	+	1749	489
CLUG_01505	Supercontig_1.2	606678	608783	+	2106	3349
CLUG_01506	Supercontig_1.2	608903	609301	-	399	974
CLUG_01507	Supercontig_1.2	609653	611674	-	2022	1787
CLUG_01508	Supercontig_1.2	612575	614179	+	1605	7553
CLUG_01509	Supercontig_1.2	614466	618959	+	4494	7808
CLUG_01510	Supercontig_1.2	619152	619655	-	504	881
CLUG_01511	Supercontig_1.2	619914	620579	-	666	647
CLUG_01512	Supercontig_1.2	621831	624365	+	2535	3620
CLUG_01513	Supercontig_1.2	624443	625414	+	972	1361
CLUG_01514	Supercontig_1.2	625520	625912	-	393	1119
CLUG_01515	Supercontig_1.2	626262	627170	+	909	1341
CLUG_01516	Supercontig_1.2	627421	627789	+	369	2057
CLUG_01517	Supercontig_1.2	627844	628812	-	969	1859
CLUG_01518	Supercontig_1.2	629026	629769	-	744	1039
CLUG_01519	Supercontig_1.2	630203	630436	-	234	2496
CLUG_01520	Supercontig_1.2	630869	632425	+	1557	2705
CLUG_01521	Supercontig_1.2	632772	634982	+	2211	1994
CLUG_01522	Supercontig_1.2	635090	636274	+	1185	1494
CLUG_01523	Supercontig_1.2	636370	637236	-	867	3570
CLUG_01524	Supercontig_1.2	637396	638973	-	1578	1680
CLUG_01525	Supercontig_1.2	639402	641309	-	1908	23400
CLUG_01526	Supercontig_1.2	642687	643763	+	1077	1820
CLUG_01527	Supercontig_1.2	643879	646413	-	2535	3755
CLUG_01528	Supercontig_1.2	647110	647601	-	492	9548
CLUG_01529	Supercontig_1.2	648413	649024	-	612	853
CLUG_01530	Supercontig_1.2	649910	651013	+	1104	2410
CLUG_01531	Supercontig_1.2	651224	651757	-	534	2261
CLUG_01532	Supercontig_1.2	652007	653077	-	1071	956
CLUG_01533	Supercontig_1.2	653177	654772	-	1596	1448
CLUG_01534	Supercontig_1.2	655024	656253	+	1230	1221
CLUG_01535	Supercontig_1.2	656231	659044	-	2814	1755
CLUG_01536	Supercontig_1.2	659031	661136	-	2106	472
CLUG_01537	Supercontig_1.2	661161	661976	-	816	3649
CLUG_01538	Supercontig_1.2	662981	664384	+	1404	789
CLUG_01539	Supercontig_1.2	664591	664902	+	312	6360
CLUG_01540	Supercontig_1.2	665038	667560	-	2523	2421
CLUG_01541	Supercontig_1.2	668845	670074	-	1230	3432
CLUG_01542	Supercontig_1.2	670601	671611	-	1011	39
CLUG_01543	Supercontig_1.2	671803	672546	+	744	1278
CLUG_01544	Supercontig_1.2	672755	673420	+	666	1169
CLUG_01545	Supercontig_1.2	673515	674297	-	783	824
CLUG_01546	Supercontig_1.2	674886	676727	+	1842	1239
CLUG_01547	Supercontig_1.2	676776	677456	-	681	723
CLUG_01548	Supercontig_1.2	677729	680611	+	2883	1780
CLUG_01549	Supercontig_1.2	680640	681608	-	969	1967
CLUG_01550	Supercontig_1.2	682295	682984	-	690	1336
CLUG_01551	Supercontig_1.2	683203	683577	+	375	989
CLUG_01552	Supercontig_1.2	683899	685455	+	1557	7012
CLUG_01553	Supercontig_1.2	685647	687218	+	1572	3813
CLUG_01554	Supercontig_1.2	687289	687966	-	678	10183
CLUG_01555	Supercontig_1.2	688403	689002	-	600	1604
CLUG_01556	Supercontig_1.2	689382	691607	-	2226	3041
CLUG_01557	Supercontig_1.2	692092	692610	+	519	1220
CLUG_01558	Supercontig_1.2	692759	695296	-	2538	3442
CLUG_01559	Supercontig_1.2	696063	698375	+	2313	2259
CLUG_01560	Supercontig_1.2	698427	699884	+	1458	1189
CLUG_01561	Supercontig_1.2	699909	700889	-	981	783
CLUG_01562	Supercontig_1.2	701258	704476	-	3219	6879
CLUG_01563	Supercontig_1.2	704991	705227	+	237	1355
CLUG_01564	Supercontig_1.2	705335	706864	-	1530	1555
CLUG_01565	Supercontig_1.2	707413	709275	-	1863	53003
CLUG_01566	Supercontig_1.2	707824	709323	+	1500	17
CLUG_01567	Supercontig_1.2	710274	711539	+	1266	2758
CLUG_01568	Supercontig_1.2	711577	712914	-	1338	2169
CLUG_01569	Supercontig_1.2	713247	714554	-	1308	1990
CLUG_01570	Supercontig_1.2	715543	715809	-	267	278
CLUG_01571	Supercontig_1.2	716329	723654	+	7326	4710
CLUG_01572	Supercontig_1.2	723740	726094	+	2355	6692
CLUG_01573	Supercontig_1.2	726236	726955	-	720	689
CLUG_01574	Supercontig_1.2	727785	728408	-	624	12122
CLUG_01575	Supercontig_1.2	730111	731019	-	909	4188
CLUG_01576	Supercontig_1.2	731788	734598	-	2811	9486
CLUG_01577	Supercontig_1.2	734702	735856	-	1155	587
CLUG_01578	Supercontig_1.2	734890	735648	-	759	0
CLUG_01579	Supercontig_1.2	736944	737468	+	525	7911
CLUG_01580	Supercontig_1.2	737482	738123	-	642	1731
CLUG_01581	Supercontig_1.2	738197	738877	+	681	1109
CLUG_01582	Supercontig_1.2	738903	740159	-	1257	6170
CLUG_01583	Supercontig_1.2	741318	742244	+	927	5751
CLUG_01584	Supercontig_1.2	742264	743598	-	1335	1014
CLUG_01585	Supercontig_1.2	744567	746396	+	1830	2873
CLUG_01586	Supercontig_1.2	746864	748075	-	1212	1022
CLUG_01587	Supercontig_1.2	747819	748802	-	984	226
CLUG_01588	Supercontig_1.2	748771	749694	-	924	1124
CLUG_01589	Supercontig_1.2	749791	750471	-	681	249
CLUG_01590	Supercontig_1.2	750419	751057	-	639	280
CLUG_01591	Supercontig_1.2	751023	751487	-	465	139
CLUG_01592	Supercontig_1.2	751781	753058	+	1278	1382
CLUG_01593	Supercontig_1.2	754358	756934	+	2577	27563
CLUG_01594	Supercontig_1.2	757979	760489	+	2511	492
CLUG_01595	Supercontig_1.2	760925	763081	+	2157	2574
CLUG_01596	Supercontig_1.2	763206	764147	+	942	3743
CLUG_01597	Supercontig_1.2	764244	765419	-	1176	3771
CLUG_01598	Supercontig_1.2	765878	766681	-	804	5440
CLUG_01599	Supercontig_1.2	767486	768214	+	729	1328
CLUG_01600	Supercontig_1.2	768285	768875	-	591	799
CLUG_01601	Supercontig_1.2	769615	770178	+	564	2322
CLUG_01602	Supercontig_1.2	771003	771947	+	945	1597
CLUG_01603	Supercontig_1.2	772064	773140	+	1077	7279
CLUG_01604	Supercontig_1.2	773173	777729	-	4557	3021
CLUG_01605	Supercontig_1.2	778357	778893	-	537	904
CLUG_01606	Supercontig_1.2	779176	783342	-	4167	4245
CLUG_01607	Supercontig_1.2	784878	787922	+	3045	2529
CLUG_01608	Supercontig_1.2	788127	788975	+	849	6407
CLUG_01609	Supercontig_1.2	789384	789902	+	519	14213
CLUG_01610	Supercontig_1.2	791097	791441	-	345	236
CLUG_01611	Supercontig_1.2	791791	793062	+	1272	1227
CLUG_01612	Supercontig_1.2	793120	794142	-	1023	2821
CLUG_01613	Supercontig_1.2	794938	796089	+	1152	1083
CLUG_01614	Supercontig_1.2	796211	796804	+	594	533
CLUG_01615	Supercontig_1.2	796943	798814	-	1872	4693
CLUG_01616	Supercontig_1.2	799677	800606	-	930	49661
CLUG_01617	Supercontig_1.2	801898	802587	+	690	3908
CLUG_01618	Supercontig_1.2	803801	806014	+	2214	6218
CLUG_01620	Supercontig_1.2	807472	808023	+	552	15
CLUG_01619	Supercontig_1.2;Supercontig_1.2	807472;808090	807922;809204	+;+	1566	10377
CLUG_01621	Supercontig_1.2	809394	809927	+	534	565
CLUG_01622	Supercontig_1.2	810196	811083	+	888	530
CLUG_01623	Supercontig_1.2	811896	812765	-	870	2
CLUG_01624	Supercontig_1.2	814123	815271	+	1149	1191
CLUG_01625	Supercontig_1.2	815395	818589	-	3195	8662
CLUG_01626	Supercontig_1.2	821553	822200	+	648	26838
CLUG_01627	Supercontig_1.2	822350	822757	-	408	403
CLUG_01628	Supercontig_1.2	824233	825423	+	1191	996
CLUG_01629	Supercontig_1.2	826175	826717	-	543	339
CLUG_01630	Supercontig_1.2	827205	829391	+	2187	6131
CLUG_01631	Supercontig_1.2	829722	830201	+	480	1248
CLUG_01632	Supercontig_1.2	830318	831337	-	1020	850
