# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L1B_benomyl.r2.gsnap_frags.tab" "-F" "GTF" "-p" "aln/L1B_benomyl.r2.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L1B_benomyl.r2.gsnap.bam
CLUG_01625	Supercontig_1.2	815395	818589	-	3195	197
CLUG_01626	Supercontig_1.2	821553	822200	+	648	1445
CLUG_01627	Supercontig_1.2	822350	822757	-	408	403
CLUG_01628	Supercontig_1.2	824233	825423	+	1191	19
CLUG_01629	Supercontig_1.2	826175	826717	-	543	6
CLUG_01630	Supercontig_1.2	827205	829391	+	2187	55
CLUG_01631	Supercontig_1.2	829722	830201	+	480	22
CLUG_01632	Supercontig_1.2	830318	831337	-	1020	22
CLUG_01633	Supercontig_1.2	831635	833329	-	1695	65
CLUG_01634	Supercontig_1.2	833777	834298	-	522	17
CLUG_01635	Supercontig_1.2	834329	834958	+	630	6
CLUG_01636	Supercontig_1.2	835042	836268	+	1227	40
CLUG_01637	Supercontig_1.2	836402	839062	+	2661	99
CLUG_01638	Supercontig_1.2	839090	841147	-	2058	179
CLUG_01639	Supercontig_1.2	842209	843090	+	882	19
CLUG_01640	Supercontig_1.2	843132	845060	-	1929	111
CLUG_01641	Supercontig_1.2	845632	846201	-	570	26
CLUG_01642	Supercontig_1.2	846669	847364	+	696	37
CLUG_01643	Supercontig_1.2	847383	849173	-	1791	63
CLUG_01644	Supercontig_1.2	849961	850518	-	558	190
CLUG_01645	Supercontig_1.2	854567	855421	+	855	79
CLUG_01646	Supercontig_1.2	856582	858963	-	2382	65
CLUG_01647	Supercontig_1.2	859580	861220	-	1641	62
CLUG_01648	Supercontig_1.2	862060	863619	-	1560	140
CLUG_01649	Supercontig_1.2	865265	866704	+	1440	24
CLUG_01650	Supercontig_1.2	866763	870137	-	3375	78
CLUG_01651	Supercontig_1.2	870589	872460	-	1872	512
CLUG_01652	Supercontig_1.2	872956	875454	-	2499	301
CLUG_01653	Supercontig_1.2	876308	878074	+	1767	186
CLUG_01654	Supercontig_1.2	878893	879384	+	492	11
CLUG_01655	Supercontig_1.2	879287	880117	+	831	30
CLUG_01656	Supercontig_1.2	879999	880619	+	621	10
CLUG_01657	Supercontig_1.2	881725	883803	+	2079	472
CLUG_01658	Supercontig_1.2	884564	885691	+	1128	51
CLUG_01659	Supercontig_1.2	886451	887179	+	729	37
CLUG_01660	Supercontig_1.2	887329	888021	-	693	19
CLUG_01661	Supercontig_1.2	888128	890167	-	2040	188
CLUG_01662	Supercontig_1.2	890295	892133	-	1839	6
CLUG_01663	Supercontig_1.2	893274	894725	-	1452	244
CLUG_01664	Supercontig_1.2	895224	896882	-	1659	182
CLUG_01665	Supercontig_1.2	897517	899577	+	2061	137
CLUG_01666	Supercontig_1.2	899625	900563	-	939	35
CLUG_01667	Supercontig_1.2	901005	902504	+	1500	48
CLUG_01668	Supercontig_1.2	902704	902982	+	279	17
CLUG_01669	Supercontig_1.2	903334	904674	+	1341	69
CLUG_01670	Supercontig_1.2	904723	906642	-	1920	265
CLUG_01671	Supercontig_1.2	907724	909121	-	1398	261
CLUG_01672	Supercontig_1.2	909588	911222	-	1635	53
CLUG_01673	Supercontig_1.2	911883	913562	+	1680	3
CLUG_01674	Supercontig_1.2	913682	914689	-	1008	68
CLUG_01675	Supercontig_1.2	915254	916636	+	1383	304
CLUG_01676	Supercontig_1.2	917043	918011	+	969	205
CLUG_01677	Supercontig_1.2	918165	918635	-	471	7
CLUG_01678	Supercontig_1.2	919117	920802	+	1686	17
CLUG_01679	Supercontig_1.2	921539	924940	-	3402	193
CLUG_01680	Supercontig_1.2	925970	926425	-	456	261
CLUG_01681	Supercontig_1.2	927427	928515	+	1089	34
CLUG_01682	Supercontig_1.2	929614	930843	+	1230	41
CLUG_01683	Supercontig_1.2	931086	932510	+	1425	27
CLUG_01684	Supercontig_1.2	932788	933759	+	972	16
CLUG_01685	Supercontig_1.2	934768	936405	-	1638	101254
CLUG_01686	Supercontig_1.2	934858	936372	+	1515	9425
CLUG_01687	Supercontig_1.2	937320	937487	-	168	1251
CLUG_01688	Supercontig_1.2	938113	939603	+	1491	723
CLUG_01689	Supercontig_1.2	940044	941063	+	1020	65
CLUG_01690	Supercontig_1.2	941214	941834	+	621	54
CLUG_01691	Supercontig_1.2	941990	943042	-	1053	34
CLUG_01692	Supercontig_1.2	943782	947813	+	4032	51
CLUG_01693	Supercontig_1.2	947918	950065	+	2148	22
CLUG_01694	Supercontig_1.2	950165	950413	-	249	22
CLUG_01695	Supercontig_1.2	951300	952742	+	1443	179
CLUG_01696	Supercontig_1.2	954845	957760	+	2916	272
CLUG_01697	Supercontig_1.2	958398	959969	+	1572	80
CLUG_01698	Supercontig_1.2	962198	964540	+	2343	106
CLUG_01699	Supercontig_1.2	963107	963616	-	510	364
CLUG_01700	Supercontig_1.2	963716	964195	-	480	423
CLUG_01701	Supercontig_1.2	965469	966155	-	687	1351
CLUG_01702	Supercontig_1.2	965796	967862	+	2067	564
CLUG_01703	Supercontig_1.2	967941	969227	-	1287	16
CLUG_01704	Supercontig_1.2	969608	970606	-	999	18
CLUG_01705	Supercontig_1.2	970711	972582	-	1872	28
CLUG_01706	Supercontig_1.2	972905	973456	+	552	2
CLUG_01707	Supercontig_1.2	974228	977041	+	2814	17
CLUG_01708	Supercontig_1.2	977712	978773	-	1062	22
CLUG_01709	Supercontig_1.2	980852	982492	+	1641	10
CLUG_01710	Supercontig_1.2	982627	982956	+	330	29
CLUG_01711	Supercontig_1.2	983233	983592	-	360	13
CLUG_01712	Supercontig_1.2	983734	984783	+	1050	36
CLUG_01713	Supercontig_1.2	985412	987991	+	2580	34
CLUG_01714	Supercontig_1.2	988236	989102	+	867	36
CLUG_01715	Supercontig_1.2	989350	990426	+	1077	16
CLUG_01716	Supercontig_1.2	990510	991184	-	675	20
CLUG_01717	Supercontig_1.2	991786	992325	-	540	28
CLUG_01718	Supercontig_1.2	992432	992953	-	522	29
CLUG_01719	Supercontig_1.2	994846	995472	-	627	34
CLUG_01720	Supercontig_1.2	995732	996655	-	924	29
CLUG_01721	Supercontig_1.2	997291	998010	+	720	113
CLUG_01722	Supercontig_1.2	998047	999144	-	1098	50
CLUG_01723	Supercontig_1.2	999728	1000543	+	816	21
CLUG_01724	Supercontig_1.2	1000563	1001513	-	951	51
CLUG_01725	Supercontig_1.2	1001932	1002468	-	537	12
CLUG_01726	Supercontig_1.2	1002814	1004073	-	1260	31
CLUG_01727	Supercontig_1.2	1004339	1006609	-	2271	29
CLUG_01728	Supercontig_1.2	1006768	1008660	-	1893	11
CLUG_01729	Supercontig_1.2	1009546	1010574	+	1029	12
CLUG_01730	Supercontig_1.2	1011099	1011689	+	591	59
CLUG_01731	Supercontig_1.2	1012919	1013752	+	834	67
CLUG_01732	Supercontig_1.2	1013887	1016100	+	2214	483
CLUG_01733	Supercontig_1.2	1016239	1017222	-	984	88
CLUG_01734	Supercontig_1.2	1018214	1019515	+	1302	50
CLUG_01735	Supercontig_1.2	1020121	1020522	-	402	291
CLUG_01736	Supercontig_1.2	1021142	1022908	+	1767	602
CLUG_01737	Supercontig_1.2	1023085	1024308	-	1224	246
CLUG_01738	Supercontig_1.2	1024585	1026255	-	1671	62
CLUG_01739	Supercontig_1.2	1026741	1029878	+	3138	53
CLUG_01740	Supercontig_1.2	1030315	1032774	-	2460	63
CLUG_01741	Supercontig_1.2	1033207	1033989	-	783	55
CLUG_01742	Supercontig_1.2	1034285	1035220	-	936	15
CLUG_01743	Supercontig_1.2	1035406	1036359	-	954	214
CLUG_01744	Supercontig_1.2	1035538	1036443	+	906	2375
CLUG_01745	Supercontig_1.2	1038056	1039789	-	1734	14
CLUG_01746	Supercontig_1.2	1041662	1043434	-	1773	93
CLUG_01747	Supercontig_1.2	1044674	1046530	-	1857	10
CLUG_01748	Supercontig_1.2	1047979	1049559	+	1581	57
CLUG_01749	Supercontig_1.2	1050123	1053044	+	2922	43
CLUG_01750	Supercontig_1.2	1053541	1053915	+	375	69
CLUG_01751	Supercontig_1.2	1053951	1054772	-	822	78
CLUG_01752	Supercontig_1.2	1054923	1056620	+	1698	45
CLUG_01753	Supercontig_1.2	1056782	1057816	+	1035	60
CLUG_01754	Supercontig_1.2	1059353	1060888	+	1536	0
CLUG_01755	Supercontig_1.2	1060906	1062894	+	1989	0
CLUG_01756	Supercontig_1.2	1063488	1064657	+	1170	234
CLUG_01757	Supercontig_1.2	1065060	1066433	+	1374	155
CLUG_01758	Supercontig_1.2	1067249	1068841	+	1593	20
CLUG_01759	Supercontig_1.2	1069735	1070631	+	897	6
CLUG_01760	Supercontig_1.2	1071126	1071713	+	588	86
CLUG_01761	Supercontig_1.2	1074124	1075200	+	1077	836
CLUG_01762	Supercontig_1.2	1075681	1076454	-	774	3507
CLUG_01763	Supercontig_1.2	1078076	1079461	+	1386	88
CLUG_01764	Supercontig_1.2	1079658	1080110	+	453	26
CLUG_01765	Supercontig_1.2	1080230	1081174	+	945	68
CLUG_01766	Supercontig_1.2	1081227	1082393	+	1167	79
CLUG_01767	Supercontig_1.2	1082597	1083673	+	1077	17
CLUG_01768	Supercontig_1.2	1086815	1087195	-	381	3
CLUG_01769	Supercontig_1.2	1088245	1089324	-	1080	8
CLUG_01770	Supercontig_1.2	1089983	1091314	+	1332	68
CLUG_01771	Supercontig_1.2	1091512	1092543	-	1032	10
CLUG_01772	Supercontig_1.2	1092730	1094865	+	2136	31
CLUG_01773	Supercontig_1.2	1095300	1098113	+	2814	70
CLUG_01774	Supercontig_1.2	1098323	1098892	+	570	57
CLUG_01775	Supercontig_1.2	1099558	1100898	-	1341	32
CLUG_01776	Supercontig_1.2	1101594	1102670	-	1077	37
CLUG_01777	Supercontig_1.2	1105199	1107484	-	2286	115
CLUG_01778	Supercontig_1.2	1107570	1110545	-	2976	37
CLUG_01779	Supercontig_1.2	1110891	1111844	-	954	150
CLUG_01780	Supercontig_1.2	1112050	1114434	-	2385	311
CLUG_01781	Supercontig_1.2	1114952	1115422	+	471	102
CLUG_01782	Supercontig_1.2	1115444	1115878	-	435	18
CLUG_01783	Supercontig_1.2	1116676	1117254	-	579	200
CLUG_01784	Supercontig_1.2	1117750	1118238	+	489	102
CLUG_01785	Supercontig_1.2	1119515	1121512	+	1998	108
CLUG_01786	Supercontig_1.2	1121551	1122033	-	483	52
CLUG_01787	Supercontig_1.2	1122619	1123959	+	1341	24
CLUG_01788	Supercontig_1.2	1124322	1125368	+	1047	29
CLUG_01789	Supercontig_1.2	1125702	1126451	-	750	136
CLUG_01790	Supercontig_1.2	1127080	1129605	+	2526	38
CLUG_01791	Supercontig_1.2	1129633	1130475	-	843	48
CLUG_01792	Supercontig_1.2	1130941	1131954	-	1014	82
CLUG_01793	Supercontig_1.2	1132229	1132534	+	306	50
CLUG_01794	Supercontig_1.2	1132735	1136577	-	3843	75
CLUG_01795	Supercontig_1.2	1137353	1139062	-	1710	67
CLUG_01796	Supercontig_1.2	1139392	1140141	-	750	17
CLUG_01797	Supercontig_1.2	1140874	1142463	+	1590	154
CLUG_01798	Supercontig_1.2	1142799	1146203	+	3405	102
CLUG_01799	Supercontig_1.2	1147580	1149820	-	2241	1370
CLUG_01800	Supercontig_1.2	1150411	1151730	+	1320	117
CLUG_01801	Supercontig_1.2	1152286	1153206	-	921	242
CLUG_01802	Supercontig_1.2	1153635	1157174	-	3540	237
CLUG_01803	Supercontig_1.2	1158847	1160469	-	1623	131
CLUG_01804	Supercontig_1.2	1161283	1161684	+	402	8
CLUG_01805	Supercontig_1.2	1161949	1164414	-	2466	23
CLUG_01806	Supercontig_1.2	1165210	1167267	-	2058	79
CLUG_01807	Supercontig_1.2	1168578	1170569	+	1992	16
CLUG_01808	Supercontig_1.2	1172112	1172972	+	861	10
CLUG_01809	Supercontig_1.2	1173444	1174169	-	726	5
CLUG_01810	Supercontig_1.2	1176171	1177178	+	1008	7
CLUG_01811	Supercontig_1.2	1178152	1181094	+	2943	747
CLUG_01812	Supercontig_1.2	1184343	1185308	+	966	73
CLUG_01813	Supercontig_1.2	1186188	1186691	-	504	14
CLUG_01814	Supercontig_1.2	1188624	1189487	+	864	2
CLUG_01815	Supercontig_1.2	1191225	1192055	+	831	278
CLUG_01816	Supercontig_1.2	1192475	1194208	-	1734	45
CLUG_01817	Supercontig_1.2	1194759	1195886	-	1128	15
CLUG_01818	Supercontig_1.2	1196163	1197269	-	1107	66
CLUG_01819	Supercontig_1.2	1197745	1198416	+	672	154
CLUG_01820	Supercontig_1.2	1198487	1204219	-	5733	63
CLUG_01821	Supercontig_1.2	1204696	1206378	+	1683	67
CLUG_01822	Supercontig_1.2	1206627	1207238	+	612	14
CLUG_01823	Supercontig_1.2	1207484	1209556	-	2073	16
CLUG_01824	Supercontig_1.2	1210735	1211715	-	981	53
CLUG_01825	Supercontig_1.2	1212086	1214569	-	2484	15
CLUG_01826	Supercontig_1.2	1215188	1216729	+	1542	13
CLUG_01827	Supercontig_1.2	1217501	1218547	+	1047	1901
CLUG_01828	Supercontig_1.2	1218971	1219654	-	684	10
CLUG_01829	Supercontig_1.2	1219708	1222185	+	2478	53
CLUG_01830	Supercontig_1.2	1224095	1225681	+	1587	22
CLUG_01831	Supercontig_1.2	1226358	1227350	+	993	7
CLUG_01832	Supercontig_1.2	1228102	1229592	-	1491	64
CLUG_01833	Supercontig_1.2	1230596	1231162	-	567	25
CLUG_01834	Supercontig_1.2	1231365	1233437	-	2073	18
CLUG_01835	Supercontig_1.2	1233779	1235305	+	1527	7
CLUG_01836	Supercontig_1.2	1236233	1238494	-	2262	17
CLUG_01837	Supercontig_1.2	1238802	1240385	+	1584	100
CLUG_01838	Supercontig_1.2	1241072	1243792	+	2721	16
CLUG_01839	Supercontig_1.2	1242130	1242756	-	627	3
CLUG_01840	Supercontig_1.2	1242161	1243516	-	1356	29
CLUG_01841	Supercontig_1.2	1244507	1245454	+	948	124
CLUG_01842	Supercontig_1.2	1245823	1247007	-	1185	12
CLUG_01843	Supercontig_1.2	1248293	1250437	+	2145	40
CLUG_01844	Supercontig_1.2	1250523	1255358	-	4836	70
CLUG_01845	Supercontig_1.2	1256465	1257715	-	1251	62
CLUG_01846	Supercontig_1.2	1258890	1260434	-	1545	10
CLUG_01847	Supercontig_1.2	1259759	1260295	+	537	12
CLUG_01848	Supercontig_1.2	1261045	1262856	+	1812	61
CLUG_01849	Supercontig_1.2	1263176	1263811	+	636	38
CLUG_01850	Supercontig_1.2	1264903	1265757	-	855	25
CLUG_01851	Supercontig_1.2	1266064	1268970	+	2907	80
CLUG_01852	Supercontig_1.2	1270557	1273616	+	3060	105
CLUG_01853	Supercontig_1.2	1274719	1277124	+	2406	48
CLUG_01854	Supercontig_1.2	1277905	1278813	+	909	12
CLUG_01855	Supercontig_1.2	1283043	1283615	+	573	93
CLUG_01856	Supercontig_1.2	1285928	1287415	-	1488	343
CLUG_01857	Supercontig_1.2	1288173	1290683	-	2511	261
CLUG_01858	Supercontig_1.2	1291057	1292748	-	1692	247
CLUG_01859	Supercontig_1.2	1294061	1295269	-	1209	80
CLUG_01860	Supercontig_1.2	1295932	1297377	-	1446	330
CLUG_01861	Supercontig_1.2	1296214	1297485	+	1272	2458
CLUG_01862	Supercontig_1.2	1298665	1300515	+	1851	93
CLUG_01863	Supercontig_1.2	1300662	1301504	+	843	65
CLUG_01864	Supercontig_1.2	1301691	1302617	+	927	50
CLUG_01865	Supercontig_1.2	1302880	1303776	-	897	56
CLUG_01866	Supercontig_1.2	1306915	1307922	-	1008	188
CLUG_01867	Supercontig_1.2	1308128	1309129	-	1002	35
CLUG_01868	Supercontig_1.2	1310775	1312073	-	1299	126
CLUG_01869	Supercontig_1.2	1313325	1316006	+	2682	309
CLUG_01870	Supercontig_1.2	1316483	1317988	+	1506	4656
CLUG_01871	Supercontig_1.2	1319148	1320500	-	1353	853
CLUG_01872	Supercontig_1.2	1322261	1325059	+	2799	159
CLUG_01873	Supercontig_1.2	1325355	1326533	+	1179	127
CLUG_01874	Supercontig_1.2	1325382	1326602	-	1221	32
CLUG_01875	Supercontig_1.2	1327169	1327630	-	462	113
CLUG_01876	Supercontig_1.2	1328061	1331654	-	3594	143
CLUG_01877	Supercontig_1.2	1333074	1333610	+	537	80
CLUG_01878	Supercontig_1.2	1333119	1334102	-	984	39
CLUG_01879	Supercontig_1.2	1336393	1337052	-	660	15
CLUG_01880	Supercontig_1.2	1339136	1340119	+	984	2237
CLUG_01881	Supercontig_1.2	1340890	1341624	-	735	617
CLUG_01882	Supercontig_1.2	1341953	1343866	-	1914	1747
CLUG_01883	Supercontig_1.2	1344386	1345513	-	1128	496
CLUG_01884	Supercontig_1.2	1347195	1348838	-	1644	283
CLUG_01885	Supercontig_1.2	1347544	1348200	+	657	65
CLUG_01886	Supercontig_1.2	1349551	1350189	+	639	49
CLUG_01887	Supercontig_1.2	1350585	1351841	-	1257	483
CLUG_01888	Supercontig_1.2	1352104	1352928	-	825	138
CLUG_01889	Supercontig_1.2	1353100	1355589	-	2490	694
CLUG_01890	Supercontig_1.2	1356375	1357121	-	747	1610
CLUG_01891	Supercontig_1.2	1357986	1358669	-	684	410
CLUG_01892	Supercontig_1.2	1359586	1360410	-	825	1743
CLUG_01893	Supercontig_1.2	1359592	1360353	+	762	166
CLUG_01894	Supercontig_1.2	1360919	1361941	+	1023	27
CLUG_01895	Supercontig_1.2	1362317	1364203	-	1887	51
CLUG_01896	Supercontig_1.2	1366106	1367047	-	942	26
CLUG_01897	Supercontig_1.2	1367876	1369126	-	1251	55
CLUG_01898	Supercontig_1.2	1372826	1374433	+	1608	22
CLUG_01899	Supercontig_1.2	1375061	1380076	+	5016	268
CLUG_01900	Supercontig_1.2	1380238	1380981	+	744	102
CLUG_01901	Supercontig_1.2	1381593	1382783	-	1191	179
CLUG_01902	Supercontig_1.2	1383139	1384305	-	1167	154
CLUG_01903	Supercontig_1.2	1384789	1385391	-	603	201
CLUG_01904	Supercontig_1.2	1385078	1388083	+	3006	192
CLUG_01905	Supercontig_1.2	1388963	1391179	+	2217	407
CLUG_01906	Supercontig_1.2	1393239	1393802	+	564	35
CLUG_01907	Supercontig_1.2	1395011	1396738	+	1728	222
CLUG_01908	Supercontig_1.2	1398246	1399208	-	963	194
CLUG_01909	Supercontig_1.2	1399369	1400301	+	933	20
CLUG_01910	Supercontig_1.2	1400663	1401415	-	753	29
CLUG_01911	Supercontig_1.2	1401619	1402908	-	1290	43
CLUG_01912	Supercontig_1.2	1404411	1405538	+	1128	7
CLUG_01913	Supercontig_1.2	1407222	1408670	-	1449	21
CLUG_01914	Supercontig_1.2	1409222	1410859	-	1638	34
CLUG_01915	Supercontig_1.2	1412697	1414361	+	1665	34
CLUG_01916	Supercontig_1.2	1414397	1416517	-	2121	84
CLUG_01917	Supercontig_1.2	1417266	1418444	+	1179	27
CLUG_01918	Supercontig_1.2	1419201	1419842	-	642	999
CLUG_01919	Supercontig_1.2	1420636	1422276	-	1641	1208
CLUG_01920	Supercontig_1.2	1423368	1424210	+	843	119
CLUG_01921	Supercontig_1.2	1424994	1426310	+	1317	50
CLUG_01922	Supercontig_1.2	1427075	1427773	+	699	47
CLUG_01923	Supercontig_1.2	1428249	1429712	+	1464	50
CLUG_01924	Supercontig_1.2	1429937	1430434	+	498	59
CLUG_01925	Supercontig_1.2	1430469	1431866	-	1398	650
CLUG_01926	Supercontig_1.2	1432711	1433445	-	735	309
CLUG_01927	Supercontig_1.2	1433872	1435914	-	2043	143
CLUG_01928	Supercontig_1.2	1436059	1437999	-	1941	95
CLUG_01929	Supercontig_1.2	1438358	1438906	-	549	58
CLUG_01930	Supercontig_1.2	1439269	1440699	+	1431	93
CLUG_01931	Supercontig_1.2	1441330	1442502	+	1173	73
CLUG_01932	Supercontig_1.2	1443215	1444645	+	1431	118
CLUG_01933	Supercontig_1.2	1445032	1445955	+	924	170
CLUG_01934	Supercontig_1.2	1447179	1448558	+	1380	741
CLUG_01935	Supercontig_1.2	1450981	1452312	+	1332	16
CLUG_01936	Supercontig_1.2	1453008	1453922	+	915	28
CLUG_01937	Supercontig_1.2	1454562	1455818	-	1257	172
CLUG_01938	Supercontig_1.2	1458215	1459123	+	909	1833
CLUG_01939	Supercontig_1.2	1459336	1459866	+	531	1024
CLUG_01940	Supercontig_1.2	1460157	1460534	-	378	80
CLUG_01941	Supercontig_1.2	1461576	1462364	-	789	9446
CLUG_01942	Supercontig_1.2	1461582	1462229	+	648	767
CLUG_01943	Supercontig_1.2	1462819	1464708	+	1890	46
CLUG_01944	Supercontig_1.2	1466379	1467845	+	1467	63
CLUG_01945	Supercontig_1.2	1469060	1470289	+	1230	71
CLUG_01946	Supercontig_1.2	1471476	1472204	+	729	12
CLUG_01947	Supercontig_1.2	1472628	1474148	-	1521	192
CLUG_01948	Supercontig_1.2	1476956	1477888	+	933	297
CLUG_01949	Supercontig_1.2	1479377	1480747	+	1371	26
CLUG_01950	Supercontig_1.2	1480860	1482755	-	1896	79
CLUG_01951	Supercontig_1.2	1483443	1485434	-	1992	112
CLUG_01952	Supercontig_1.2	1487665	1490238	+	2574	351
CLUG_01953	Supercontig_1.2	1490915	1493311	+	2397	392
CLUG_01954	Supercontig_1.2	1494470	1494979	-	510	487
CLUG_01955	Supercontig_1.2	1495085	1495672	-	588	28
CLUG_01956	Supercontig_1.2	1495341	1496012	-	672	172
CLUG_01957	Supercontig_1.2	1496683	1498797	-	2115	801
CLUG_01958	Supercontig_1.2	1499524	1500354	+	831	30
CLUG_01959	Supercontig_1.2	1501626	1502156	-	531	1207
CLUG_01960	Supercontig_1.2	1501719	1502264	+	546	269
CLUG_01961	Supercontig_1.2	1503870	1506656	-	2787	53
CLUG_01962	Supercontig_1.2	1507929	1508528	+	600	285
CLUG_01963	Supercontig_1.2	1508961	1511735	-	2775	75
CLUG_01964	Supercontig_1.2	1512266	1514167	+	1902	132
CLUG_01965	Supercontig_1.2	1514863	1515930	+	1068	583
CLUG_01966	Supercontig_1.2	1516298	1517242	-	945	2680
CLUG_01967	Supercontig_1.2	1520096	1520983	+	888	1472
CLUG_01968	Supercontig_1.2	1520363	1521115	-	753	11489
CLUG_01969	Supercontig_1.2	1522522	1525236	+	2715	67
CLUG_01970	Supercontig_1.2	1525600	1526055	+	456	82
CLUG_01971	Supercontig_1.2	1525936	1526535	-	600	520
CLUG_01972	Supercontig_1.2	1526750	1528360	+	1611	20
CLUG_01973	Supercontig_1.2	1528379	1529782	+	1404	104
CLUG_01974	Supercontig_1.2	1530302	1530976	+	675	233
CLUG_01975	Supercontig_1.2	1531417	1532571	+	1155	18
CLUG_01976	Supercontig_1.2	1533521	1533982	+	462	21
CLUG_01977	Supercontig_1.2	1534783	1536987	+	2205	137
CLUG_01978	Supercontig_1.2	1538049	1540490	+	2442	743
CLUG_01979	Supercontig_1.2	1541146	1542336	-	1191	941
CLUG_01980	Supercontig_1.2	1543188	1544984	-	1797	27
CLUG_01981	Supercontig_1.2	1547691	1549112	-	1422	28
CLUG_01982	Supercontig_1.2	1549570	1551009	-	1440	55
CLUG_01983	Supercontig_1.2	1551639	1552619	-	981	36
CLUG_01984	Supercontig_1.2	1555044	1555541	-	498	9
CLUG_01985	Supercontig_1.2	1555569	1556978	+	1410	148
CLUG_01986	Supercontig_1.2	1555584	1556765	-	1182	2201
CLUG_01987	Supercontig_1.2	1557737	1559440	+	1704	7
CLUG_01988	Supercontig_1.2	1560278	1562158	+	1881	18
CLUG_01989	Supercontig_1.2	1561344	1561820	-	477	43
CLUG_01990	Supercontig_1.2	1563948	1564949	+	1002	91
CLUG_01991	Supercontig_1.2	1564086	1565057	-	972	562
CLUG_01992	Supercontig_1.2	1566450	1567607	-	1158	765
CLUG_01993	Supercontig_1.2	1566462	1567604	+	1143	135
CLUG_01994	Supercontig_1.2	1568561	1569106	+	546	22
CLUG_01995	Supercontig_1.2	1569967	1571700	+	1734	968
CLUG_01996	Supercontig_1.2	1571966	1572745	-	780	11
CLUG_01997	Supercontig_1.2	1573835	1574905	-	1071	15
CLUG_01998	Supercontig_1.2	1575991	1577100	+	1110	24
CLUG_01999	Supercontig_1.2	1578486	1580801	+	2316	488
CLUG_02000	Supercontig_1.2	1581673	1584615	-	2943	109
CLUG_02001	Supercontig_1.2	1586361	1591133	+	4773	378
CLUG_02002	Supercontig_1.2	1591291	1591830	-	540	17
CLUG_02003	Supercontig_1.2	1593205	1593687	+	483	15
CLUG_02004	Supercontig_1.2	1594206	1596062	+	1857	15
CLUG_02005	Supercontig_1.2	1596492	1597835	+	1344	82
CLUG_02006	Supercontig_1.2	1599399	1603013	+	3615	3703
CLUG_02007	Supercontig_1.2	1603845	1605428	+	1584	297
CLUG_02008	Supercontig_1.2	1606043	1606276	+	234	76
CLUG_02009	Supercontig_1.2	1606518	1608542	+	2025	219
CLUG_02010	Supercontig_1.2	1608590	1610962	-	2373	343
CLUG_02011	Supercontig_1.2	1611467	1612804	-	1338	52
CLUG_02012	Supercontig_1.2	1613776	1615017	-	1242	121
CLUG_02013	Supercontig_1.2	1615388	1616641	-	1254	84
CLUG_02014	Supercontig_1.2	1617162	1619234	-	2073	254
CLUG_02015	Supercontig_1.2	1620598	1622340	+	1743	290
CLUG_02016	Supercontig_1.2	1623249	1625318	+	2070	14159
CLUG_02017	Supercontig_1.2	1626207	1627880	+	1674	27
CLUG_02018	Supercontig_1.2	1628955	1630583	-	1629	69
CLUG_02019	Supercontig_1.2	1631234	1633039	-	1806	61
CLUG_02020	Supercontig_1.2	1633295	1633951	+	657	250
CLUG_02021	Supercontig_1.2	1635972	1636820	+	849	215
CLUG_02022	Supercontig_1.2	1637081	1638412	-	1332	31
CLUG_02023	Supercontig_1.2	1639721	1641631	-	1911	116
CLUG_02024	Supercontig_1.2	1639787	1641658	+	1872	891
CLUG_02025	Supercontig_1.2	1643299	1644144	-	846	36
CLUG_02026	Supercontig_1.2	1644916	1645818	-	903	245
CLUG_02027	Supercontig_1.2	1650085	1651779	-	1695	23
CLUG_02028	Supercontig_1.2	1657093	1657710	-	618	0
CLUG_02029	Supercontig_1.2	1657109	1657720	-	612	0
CLUG_02030	Supercontig_1.2	1657493	1659751	+	2259	7
CLUG_02031	Supercontig_1.2	1658142	1658600	+	459	0
CLUG_02032	Supercontig_1.2	1659099	1659617	-	519	15
CLUG_02033	Supercontig_1.2	1660855	1662225	+	1371	143
CLUG_02034	Supercontig_1.2	1662296	1662949	-	654	241
CLUG_02035	Supercontig_1.2	1664706	1665623	+	918	30
CLUG_02036	Supercontig_1.2	1664780	1665529	-	750	26
CLUG_02037	Supercontig_1.2	1666400	1669198	-	2799	61
CLUG_02038	Supercontig_1.2	1670441	1672237	-	1797	13
CLUG_02039	Supercontig_1.2	1673879	1674883	+	1005	10
CLUG_02040	Supercontig_1.2	1675861	1677168	+	1308	276
CLUG_02041	Supercontig_1.2	1680682	1682055	+	1374	23
CLUG_02042	Supercontig_1.2	1682605	1683603	-	999	179
CLUG_02043	Supercontig_1.2	1686857	1687756	+	900	62
CLUG_02044	Supercontig_1.2	1688220	1689383	+	1164	7
CLUG_02045	Supercontig_1.2	1688272	1688823	+	552	0
CLUG_02046	Supercontig_1.2	1690696	1692531	-	1836	9
CLUG_02047	Supercontig_1.2	1693467	1694975	-	1509	133
CLUG_02048	Supercontig_1.2	1695508	1696044	+	537	8
CLUG_02049	Supercontig_1.2	1696894	1697715	-	822	76
CLUG_02050	Supercontig_1.2	1698758	1702318	-	3561	37
