Geneid	Chr	Start	End	Strand	Length	L10.rep1	L10.rep2	L17.rep1	L17.rep2	U04.rep1	U04.rep2	U05.rep1	U05.rep2	U07.rep1	U07.rep2
CLUG_01719	Supercontig_1.2	994846	995472	-	627	2339	266	944	750	2022	1625	873	1477	1931	1420
CLUG_01720	Supercontig_1.2	995732	996655	-	924	2586	278	903	668	2139	2034	932	1577	1957	1558
CLUG_01721	Supercontig_1.2	997291	998010	+	720	1428	159	1376	1833	1074	741	1473	2034	1184	889
CLUG_01722	Supercontig_1.2	998047	999144	-	1098	1458	260	866	766	1639	957	1150	1177	1463	1130
CLUG_01723	Supercontig_1.2	999728	1000543	+	816	560	100	403	355	629	496	486	499	574	448
CLUG_01724	Supercontig_1.2	1000563	1001513	-	951	597	93	378	288	898	837	414	541	706	605
CLUG_01725	Supercontig_1.2	1001932	1002468	-	537	540	72	261	181	648	490	261	393	491	440
CLUG_01726	Supercontig_1.2	1002814	1004073	-	1260	868	125	498	347	996	916	463	622	787	636
CLUG_01727	Supercontig_1.2	1004339	1006609	-	2271	1673	248	1008	1045	1272	1028	1095	1311	1501	1152
CLUG_01728	Supercontig_1.2	1006768	1008660	-	1893	1528	222	952	691	1131	930	926	1170	1210	1032
CLUG_01729	Supercontig_1.2	1009546	1010574	+	1029	482	58	223	118	341	220	237	317	302	266
CLUG_01730	Supercontig_1.2	1011099	1011689	+	591	2234	305	1177	1233	1896	2067	1703	1901	1923	1809
CLUG_01731	Supercontig_1.2	1012919	1013752	+	834	4438	651	2602	2390	3660	3479	3161	3755	3938	3564
CLUG_01732	Supercontig_1.2	1013887	1016100	+	2214	19842	2767	14959	11641	18738	15604	13740	16542	18515	16658
CLUG_01733	Supercontig_1.2	1016239	1017222	-	984	1044	112	944	840	2070	1710	834	1091	1577	1120
CLUG_01734	Supercontig_1.2	1018214	1019515	+	1302	3619	423	3563	3483	2298	2062	3095	3452	2293	1892
CLUG_01735	Supercontig_1.2	1020121	1020522	-	402	2287	272	1717	1564	1978	1849	1749	2006	1788	1881
CLUG_01736	Supercontig_1.2	1021142	1022908	+	1767	7580	1193	4774	3498	3824	2990	6092	6423	4827	4245
CLUG_01737	Supercontig_1.2	1023085	1024308	-	1224	205	39	89	68	432	569	64	165	315	279
CLUG_01738	Supercontig_1.2	1024585	1026255	-	1671	5566	733	2835	1713	5626	4735	2847	3980	5336	4006
CLUG_01739	Supercontig_1.2	1026741	1029878	+	3138	2251	296	1164	493	1869	1934	1138	1536	1911	1542
CLUG_01740	Supercontig_1.2	1030315	1032774	-	2460	5283	689	3238	2921	3552	2807	3768	4413	3857	3133
CLUG_01741	Supercontig_1.2	1033207	1033989	-	783	3211	397	2114	1554	4059	3996	1651	2286	3066	3217
CLUG_01742	Supercontig_1.2	1034285	1035220	-	936	480	84	307	206	505	310	303	317	447	376
CLUG_01743	Supercontig_1.2	1035406	1036359	-	954	9809	1105	6094	4721	7595	7937	5406	7688	7379	7891
CLUG_01744	Supercontig_1.2	1035538	1036443	+	906	7433	844	4740	3596	5733	6168	3940	5711	5420	6040
CLUG_01745	Supercontig_1.2	1038056	1039789	-	1734	2173	326	1247	950	1365	1143	1313	1505	1398	1240
CLUG_01746	Supercontig_1.2	1041662	1043434	-	1773	16693	2103	8663	6191	14719	12577	8318	11254	13183	10061
CLUG_01747	Supercontig_1.2	1044674	1046530	-	1857	1463	201	1121	996	1380	1275	1129	1403	1452	1350
CLUG_01748	Supercontig_1.2	1047979	1049559	+	1581	11613	1745	5322	2741	22501	22155	6340	8560	14516	12176
CLUG_01749	Supercontig_1.2	1050123	1053044	+	2922	4041	586	2001	1309	3982	3635	2155	2801	4022	2948
CLUG_01750	Supercontig_1.2	1053541	1053915	+	375	1465	136	509	572	1827	3370	394	898	1785	1701
CLUG_01751	Supercontig_1.2	1053951	1054772	-	822	561	66	216	231	734	724	200	364	618	517
CLUG_01752	Supercontig_1.2	1054923	1056620	+	1698	2845	398	1979	1619	3667	3604	1823	2155	3001	2843
CLUG_01753	Supercontig_1.2	1056782	1057816	+	1035	523	67	281	239	597	564	210	307	488	408
CLUG_01754	Supercontig_1.2	1059353	1060888	+	1536	0	0	0	0	0	0	0	0	0	0
CLUG_01755	Supercontig_1.2	1060906	1062894	+	1989	1	0	0	0	0	0	0	0	0	0
CLUG_01756	Supercontig_1.2	1063488	1064657	+	1170	654	110	523	380	676	524	389	495	630	551
CLUG_01757	Supercontig_1.2	1065060	1066433	+	1374	3247	445	2174	1720	3423	3293	1974	2608	3167	3099
CLUG_01758	Supercontig_1.2	1067249	1068841	+	1593	2358	198	1078	1508	2229	2478	1080	1965	1969	1931
CLUG_01759	Supercontig_1.2	1069735	1070631	+	897	936	164	1808	1758	1784	1449	1372	1509	1935	1321
CLUG_01760	Supercontig_1.2	1071126	1071713	+	588	4584	664	3687	2548	11121	12190	3426	4233	8332	7561
CLUG_01761	Supercontig_1.2	1074124	1075200	+	1077	5948	736	3989	3702	9129	7624	3463	4897	5890	4625
CLUG_01762	Supercontig_1.2	1075681	1076454	-	774	4353	601	3286	2210	9115	8431	2879	4003	6838	6215
CLUG_01763	Supercontig_1.2	1078076	1079461	+	1386	1349	211	613	508	1080	1183	926	1093	1181	1124
CLUG_01764	Supercontig_1.2	1079658	1080110	+	453	538	84	332	197	475	538	358	388	506	489
CLUG_01765	Supercontig_1.2	1080230	1081174	+	945	1840	287	999	736	1613	1535	1223	1473	1660	1498
CLUG_01766	Supercontig_1.2	1081227	1082393	+	1167	2396	372	1700	1150	2247	2079	1628	1925	2437	2097
CLUG_01767	Supercontig_1.2	1082597	1083673	+	1077	543	75	244	207	227	171	191	291	226	226
CLUG_01768	Supercontig_1.2	1086815	1087195	-	381	79	9	21	34	65	55	53	49	42	39
CLUG_01769	Supercontig_1.2	1088245	1089324	-	1080	578	83	239	196	1003	1162	211	395	616	639
CLUG_01770	Supercontig_1.2	1089983	1091314	+	1332	1728	237	1109	695	1588	1496	954	1180	1405	1319
CLUG_01771	Supercontig_1.2	1091512	1092543	-	1032	907	117	428	266	480	443	438	598	542	512
CLUG_01772	Supercontig_1.2	1092730	1094865	+	2136	1488	195	641	486	937	796	746	974	1118	880
CLUG_01773	Supercontig_1.2	1095300	1098113	+	2814	3312	470	1979	1417	2814	2338	1942	2582	2777	2292
CLUG_01774	Supercontig_1.2	1098323	1098892	+	570	2296	342	1433	1140	2073	1485	1454	1721	1923	1438
CLUG_01775	Supercontig_1.2	1099558	1100898	-	1341	2352	293	1058	776	1555	1206	1204	1440	1416	1134
CLUG_01776	Supercontig_1.2	1101594	1102670	-	1077	2156	221	982	865	1610	1787	1211	1817	1843	1952
CLUG_01777	Supercontig_1.2	1105199	1107484	-	2286	7539	998	4412	3791	4366	3615	4406	5919	5266	4578
CLUG_01778	Supercontig_1.2	1107570	1110545	-	2976	1724	264	918	906	1120	929	1221	1368	1392	1170
CLUG_01779	Supercontig_1.2	1110891	1111844	-	954	1051	124	696	487	1485	1381	652	824	1480	1321
CLUG_01780	Supercontig_1.2	1112050	1114434	-	2385	16106	2305	11762	9732	8514	6700	10082	13300	10553	7906
CLUG_01781	Supercontig_1.2	1114952	1115422	+	471	908	135	785	649	690	613	547	760	676	580
CLUG_01782	Supercontig_1.2	1115444	1115878	-	435	330	49	161	155	335	238	183	241	279	184
CLUG_01783	Supercontig_1.2	1116676	1117254	-	579	835	168	456	314	1224	1088	468	930	1267	1074
CLUG_01784	Supercontig_1.2	1117750	1118238	+	489	657	85	530	310	1425	2015	332	435	801	1052
CLUG_01785	Supercontig_1.2	1119515	1121512	+	1998	5151	765	3067	2701	4795	3540	3465	4042	4512	3450
CLUG_01786	Supercontig_1.2	1121551	1122033	-	483	1331	195	1041	820	1040	867	978	1047	1099	1071
CLUG_01787	Supercontig_1.2	1122619	1123959	+	1341	5451	639	3864	3864	4273	3401	3416	4405	4749	4252
CLUG_01788	Supercontig_1.2	1124322	1125368	+	1047	1565	206	1190	935	1631	1427	1137	1320	1530	1320
CLUG_01789	Supercontig_1.2	1125702	1126451	-	750	1365	212	826	567	1539	1371	727	885	1047	1132
CLUG_01790	Supercontig_1.2	1127080	1129605	+	2526	2132	302	1190	857	1713	1206	1350	1556	1734	1187
CLUG_01791	Supercontig_1.2	1129633	1130475	-	843	568	74	322	272	486	364	379	394	493	326
CLUG_01792	Supercontig_1.2	1130941	1131954	-	1014	586	90	227	274	1126	1040	264	410	695	588
CLUG_01793	Supercontig_1.2	1132229	1132534	+	306	487	65	221	194	535	366	216	276	465	364
CLUG_01794	Supercontig_1.2	1132735	1136577	-	3843	5454	756	3329	2623	4613	3851	3577	4303	5164	3959
CLUG_01795	Supercontig_1.2	1137353	1139062	-	1710	1697	220	960	800	2119	2163	905	1174	1500	1326
CLUG_01796	Supercontig_1.2	1139392	1140141	-	750	2167	277	1212	1143	2408	1728	1203	1642	2042	1687
CLUG_01797	Supercontig_1.2	1140874	1142463	+	1590	1965	265	1137	873	2001	1705	1218	1481	1855	1467
CLUG_01798	Supercontig_1.2	1142799	1146203	+	3405	9252	1072	4878	5671	3606	3150	4738	6482	4554	4539
CLUG_01799	Supercontig_1.2	1147580	1149820	-	2241	6358	956	4208	3612	8639	7074	6666	5857	7120	6484
CLUG_01800	Supercontig_1.2	1150411	1151730	+	1320	1508	187	1268	1410	1691	2056	886	1183	1546	1741
CLUG_01801	Supercontig_1.2	1152286	1153206	-	921	2093	334	1357	809	3020	2706	1894	1694	2156	2246
CLUG_01802	Supercontig_1.2	1153635	1157174	-	3540	14065	2113	10213	9233	14784	13289	10498	11385	12020	10562
CLUG_01803	Supercontig_1.2	1158847	1160469	-	1623	1574	213	926	401	1168	1401	797	1036	1213	1282
CLUG_01804	Supercontig_1.2	1161283	1161684	+	402	243	37	203	111	226	258	135	137	198	266
CLUG_01805	Supercontig_1.2	1161949	1164414	-	2466	1851	215	852	776	1146	912	923	1303	1328	1258
CLUG_01806	Supercontig_1.2	1165210	1167267	-	2058	3369	273	878	1342	2098	2469	1202	2646	2877	2613
CLUG_01807	Supercontig_1.2	1168578	1170569	+	1992	3094	374	2313	3527	3195	2966	2867	3615	3143	2815
CLUG_01808	Supercontig_1.2	1172112	1172972	+	861	609	83	373	254	494	443	336	480	442	544
CLUG_01809	Supercontig_1.2	1173444	1174169	-	726	430	57	239	151	404	454	159	242	288	351
CLUG_01810	Supercontig_1.2	1176171	1177178	+	1008	25	2	31	25	28	22	17	26	20	26
CLUG_01811	Supercontig_1.2	1178152	1181094	+	2943	61553	7506	79270	97989	45719	44132	49891	54141	59584	54792
CLUG_01812	Supercontig_1.2	1184343	1185308	+	966	5236	716	2350	1681	3642	3562	2541	3485	3368	3139
CLUG_01813	Supercontig_1.2	1186188	1186691	-	504	200	21	109	58	192	191	87	146	201	229
CLUG_01814	Supercontig_1.2	1188624	1189487	+	864	266	40	180	112	277	217	228	238	238	196
CLUG_01815	Supercontig_1.2	1191225	1192055	+	831	4065	527	2807	2891	2589	1987	3010	3473	2434	2414
CLUG_01816	Supercontig_1.2	1192475	1194208	-	1734	6997	608	3370	4469	3288	2815	3579	4996	2919	2740
CLUG_01817	Supercontig_1.2	1194759	1195886	-	1128	639	69	268	222	527	426	317	412	489	357
CLUG_01818	Supercontig_1.2	1196163	1197269	-	1107	1945	262	1453	1030	1866	1797	1208	1460	1558	1431
CLUG_01819	Supercontig_1.2	1197745	1198416	+	672	460	57	212	157	395	313	196	337	384	292
CLUG_01820	Supercontig_1.2	1198487	1204219	-	5733	4569	747	2653	2268	3606	3326	2882	3417	3526	3308
CLUG_01821	Supercontig_1.2	1204696	1206378	+	1683	1539	255	937	647	2148	2582	866	1593	2116	1985
CLUG_01822	Supercontig_1.2	1206627	1207238	+	612	568	84	270	183	394	444	203	317	365	380
CLUG_01823	Supercontig_1.2	1207484	1209556	-	2073	1700	202	938	761	918	765	939	1199	1114	999
CLUG_01824	Supercontig_1.2	1210735	1211715	-	981	3628	412	2071	2021	3094	2622	1862	2869	2864	2846
CLUG_01825	Supercontig_1.2	1212086	1214569	-	2484	1159	129	745	609	753	680	618	811	813	831
CLUG_01826	Supercontig_1.2	1215188	1216729	+	1542	556	67	309	322	453	431	364	455	472	480
CLUG_01827	Supercontig_1.2	1217501	1218547	+	1047	394919	35729	364473	465255	229625	186800	261535	300983	267766	248375
CLUG_01828	Supercontig_1.2	1218971	1219654	-	684	432	60	288	294	267	219	300	410	359	296
CLUG_01829	Supercontig_1.2	1219708	1222185	+	2478	1289	154	773	561	812	792	709	1041	945	1049
CLUG_01830	Supercontig_1.2	1224095	1225681	+	1587	2287	279	1128	1055	2377	1972	1357	1722	2009	1623
CLUG_01831	Supercontig_1.2	1226358	1227350	+	993	878	116	455	416	1428	1345	490	634	940	824
CLUG_01832	Supercontig_1.2	1228102	1229592	-	1491	1604	207	865	442	1190	1170	786	1129	1246	1103
CLUG_01833	Supercontig_1.2	1230596	1231162	-	567	14	2	13	5	2	2	11	15	5	9
CLUG_01834	Supercontig_1.2	1231365	1233437	-	2073	22	3	24	14	3	2	18	32	12	7
CLUG_01835	Supercontig_1.2	1233779	1235305	+	1527	27	2	36	18	24	21	31	26	13	17
CLUG_01836	Supercontig_1.2	1236233	1238494	-	2262	2423	357	1346	1116	1905	1580	1526	1777	2013	1499
CLUG_01837	Supercontig_1.2	1238802	1240385	+	1584	4608	609	2840	1868	5140	5403	2588	3362	4072	4106
CLUG_01838	Supercontig_1.2	1241072	1243792	+	2721	889	77	295	260	1462	1404	392	693	1334	1021
CLUG_01839	Supercontig_1.2	1242130	1242756	-	627	4	0	0	0	1	9	3	3	3	6
CLUG_01840	Supercontig_1.2	1242161	1243516	-	1356	349	32	120	114	549	631	165	288	538	402
CLUG_01841	Supercontig_1.2	1244507	1245454	+	948	1164	165	817	575	947	818	659	787	847	946
CLUG_01842	Supercontig_1.2	1245823	1247007	-	1185	903	83	348	398	612	1055	337	596	643	801
CLUG_01843	Supercontig_1.2	1248293	1250437	+	2145	12256	1066	3158	3641	6970	6169	3449	5442	6452	5584
CLUG_01844	Supercontig_1.2	1250523	1255358	-	4836	10323	1377	5392	6036	3949	3216	5187	6971	5162	4781
CLUG_01845	Supercontig_1.2	1256465	1257715	-	1251	4764	1113	6362	2080	6071	3608	4095	2972	3624	3464
CLUG_01846	Supercontig_1.2	1258890	1260434	-	1545	1024	136	329	213	714	587	375	633	705	585
CLUG_01847	Supercontig_1.2	1259759	1260295	+	537	279	36	81	43	176	169	97	174	159	143
CLUG_01848	Supercontig_1.2	1261045	1262856	+	1812	2116	248	1030	851	2136	2171	1136	1620	1848	1623
CLUG_01849	Supercontig_1.2	1263176	1263811	+	636	1441	435	2009	913	2592	1713	1552	1267	1516	1212
CLUG_01850	Supercontig_1.2	1264903	1265757	-	855	984	142	713	519	917	704	620	769	936	747
CLUG_01851	Supercontig_1.2	1266064	1268970	+	2907	1097	178	684	550	759	901	712	971	1027	1216
CLUG_01852	Supercontig_1.2	1270557	1273616	+	3060	3975	474	2234	1989	2242	1889	2246	2966	2558	2270
CLUG_01853	Supercontig_1.2	1274719	1277124	+	2406	1356	173	846	652	1093	1315	900	1091	1239	1338
CLUG_01854	Supercontig_1.2	1277905	1278813	+	909	150	28	101	105	155	204	154	194	172	147
CLUG_01855	Supercontig_1.2	1283043	1283615	+	573	814	121	489	297	527	432	392	561	596	478
CLUG_01856	Supercontig_1.2	1285928	1287415	-	1488	12593	2100	11004	4880	37756	45908	13101	15260	26846	21979
CLUG_01857	Supercontig_1.2	1288173	1290683	-	2511	1690	295	1105	683	1168	1162	1725	1377	1326	1300
CLUG_01858	Supercontig_1.2	1291057	1292748	-	1692	3005	590	2458	1891	3929	3648	3314	3290	3583	3490
CLUG_01859	Supercontig_1.2	1294061	1295269	-	1209	1840	252	1207	702	2401	2497	1040	1418	2192	2079
CLUG_01860	Supercontig_1.2	1295932	1297377	-	1446	2835	352	1769	1572	2693	3493	1550	1969	2697	2636
CLUG_01861	Supercontig_1.2	1296214	1297485	+	1272	2203	267	1364	1186	2015	2776	1182	1530	1983	2048
CLUG_01862	Supercontig_1.2	1298665	1300515	+	1851	441	54	185	170	357	355	223	321	380	395
CLUG_01863	Supercontig_1.2	1300662	1301504	+	843	770	100	686	735	1309	1015	650	812	1185	882
CLUG_01864	Supercontig_1.2	1301691	1302617	+	927	405	60	370	211	262	256	294	333	357	343
CLUG_01865	Supercontig_1.2	1302880	1303776	-	897	1668	357	1553	617	1547	1338	1237	1071	1217	1103
CLUG_01866	Supercontig_1.2	1306915	1307922	-	1008	1686	217	1558	1240	1685	1531	1209	1519	1379	1426
CLUG_01867	Supercontig_1.2	1308128	1309129	-	1002	461	80	447	134	1018	1770	360	301	467	683
CLUG_01868	Supercontig_1.2	1310775	1312073	-	1299	2964	349	1962	2256	2056	2066	1780	2441	2270	2081
CLUG_01869	Supercontig_1.2	1313325	1316006	+	2682	4746	607	2583	1912	3133	3245	2526	3480	3617	3464
CLUG_01870	Supercontig_1.2	1316483	1317988	+	1506	19233	2738	13874	8248	15631	12588	14863	15254	13579	11695
CLUG_01871	Supercontig_1.2	1319148	1320500	-	1353	8869	1306	7764	4558	5304	3620	7442	7195	5847	5573
CLUG_01872	Supercontig_1.2	1322261	1325059	+	2799	11462	1388	5969	5443	10272	9364	6338	8760	9803	8852
CLUG_01873	Supercontig_1.2	1325355	1326533	+	1179	765	112	678	364	774	968	408	554	669	859
CLUG_01874	Supercontig_1.2	1325382	1326602	-	1221	738	109	643	362	752	945	397	535	656	831
CLUG_01875	Supercontig_1.2	1327169	1327630	-	462	582	87	344	188	439	371	261	402	405	418
CLUG_01876	Supercontig_1.2	1328061	1331654	-	3594	5422	771	2902	2348	3567	3167	2953	3835	3843	3014
CLUG_01877	Supercontig_1.2	1333074	1333610	+	537	540	35	210	188	314	359	199	301	299	350
CLUG_01878	Supercontig_1.2	1333119	1334102	-	984	902	70	317	303	559	546	379	572	554	547
CLUG_01879	Supercontig_1.2	1336393	1337052	-	660	1541	71	189	514	1384	3479	161	851	1445	1884
CLUG_01880	Supercontig_1.2	1339136	1340119	+	984	1417	256	1329	625	1412	1702	1240	1040	1290	1645
CLUG_01881	Supercontig_1.2	1340890	1341624	-	735	5672	859	3162	1921	1116	839	4624	4989	1912	1699
CLUG_01882	Supercontig_1.2	1341953	1343866	-	1914	1336	190	748	535	1012	984	721	932	1050	1057
CLUG_01883	Supercontig_1.2	1344386	1345513	-	1128	6389	990	4125	3378	3762	2851	3820	4257	4113	3834
CLUG_01884	Supercontig_1.2	1347195	1348838	-	1644	218	22	125	82	457	568	100	189	374	387
CLUG_01885	Supercontig_1.2	1347544	1348200	+	657	80	8	44	28	148	249	32	62	119	153
CLUG_01886	Supercontig_1.2	1349551	1350189	+	639	1142	119	705	460	857	799	550	780	778	722
CLUG_01887	Supercontig_1.2	1350585	1351841	-	1257	1348	139	706	642	1949	2919	848	1169	1714	2212
CLUG_01888	Supercontig_1.2	1352104	1352928	-	825	698	85	600	222	569	576	559	541	707	708
CLUG_01889	Supercontig_1.2	1353100	1355589	-	2490	5066	645	2507	2282	4131	3471	3032	4149	4446	3446
CLUG_01890	Supercontig_1.2	1356375	1357121	-	747	110349	12895	127982	190688	95365	66286	79162	82946	117633	81998
CLUG_01891	Supercontig_1.2	1357986	1358669	-	684	805	119	455	872	666	510	472	664	788	608
CLUG_01892	Supercontig_1.2	1359586	1360410	-	825	11214	915	10758	31123	5375	5398	4863	6395	10544	7779
CLUG_01893	Supercontig_1.2	1359592	1360353	+	762	10930	888	10461	30394	5283	5238	4772	6234	10312	7614
CLUG_01894	Supercontig_1.2	1360919	1361941	+	1023	1046	134	504	395	2211	1463	594	869	1470	919
CLUG_01895	Supercontig_1.2	1362317	1364203	-	1887	3927	491	2733	856	2801	3195	3420	3905	2398	2341
CLUG_01896	Supercontig_1.2	1366106	1367047	-	942	1465	169	843	569	1139	1341	785	1090	961	956
CLUG_01897	Supercontig_1.2	1367876	1369126	-	1251	13135	952	8316	4295	6007	6256	7329	13562	5525	6730
CLUG_01898	Supercontig_1.2	1372826	1374433	+	1608	105	6	37	27	36	20	63	73	53	45
CLUG_01899	Supercontig_1.2	1375061	1380076	+	5016	10417	1243	3998	2775	9266	7772	5342	7464	8791	5805
CLUG_01900	Supercontig_1.2	1380238	1380981	+	744	1543	219	892	618	1430	1158	845	1153	1287	1094
CLUG_01901	Supercontig_1.2	1381593	1382783	-	1191	3981	575	2834	2083	4722	4718	2512	3223	4066	3961
CLUG_01902	Supercontig_1.2	1383139	1384305	-	1167	942	105	478	399	822	737	462	701	771	738
CLUG_01903	Supercontig_1.2	1384789	1385391	-	603	1226	144	455	623	940	795	757	1039	1012	693
CLUG_01904	Supercontig_1.2	1385078	1388083	+	3006	10149	1189	6825	6406	7919	7929	6994	9203	9462	8215
CLUG_01905	Supercontig_1.2	1388963	1391179	+	2217	4102	501	1959	1935	2748	2621	2148	2860	2915	2332
CLUG_01906	Supercontig_1.2	1393239	1393802	+	564	577	70	447	264	464	444	349	389	449	530
CLUG_01907	Supercontig_1.2	1395011	1396738	+	1728	3399	615	2962	1697	4875	6144	2671	3219	4062	4104
CLUG_01908	Supercontig_1.2	1398246	1399208	-	963	1806	262	1538	882	1244	1237	1406	1469	1181	1439
CLUG_01909	Supercontig_1.2	1399369	1400301	+	933	1164	241	1209	744	976	722	1211	1026	783	775
CLUG_01910	Supercontig_1.2	1400663	1401415	-	753	1046	152	583	464	3167	3600	580	875	1757	1532
CLUG_01911	Supercontig_1.2	1401619	1402908	-	1290	1817	233	1277	758	1319	1135	1085	1281	1176	1241
CLUG_01912	Supercontig_1.2	1404411	1405538	+	1128	1490	196	936	445	657	527	811	891	871	798
CLUG_01913	Supercontig_1.2	1407222	1408670	-	1449	338	50	110	60	188	214	139	169	243	205
CLUG_01914	Supercontig_1.2	1409222	1410859	-	1638	726	94	470	288	151	103	367	407	177	213
CLUG_01915	Supercontig_1.2	1412697	1414361	+	1665	294	34	178	164	153	105	183	206	190	178
CLUG_01916	Supercontig_1.2	1414397	1416517	-	2121	2585	325	1481	1412	1568	1303	1473	1856	1736	1562
CLUG_01917	Supercontig_1.2	1417266	1418444	+	1179	1590	239	856	664	594	466	762	992	752	646
CLUG_01918	Supercontig_1.2	1419201	1419842	-	642	21735	2907	14070	12842	24719	15646	15257	18350	22820	16399
CLUG_01919	Supercontig_1.2	1420636	1422276	-	1641	6559	879	4327	3655	5386	5319	4347	5682	5375	4939
CLUG_01920	Supercontig_1.2	1423368	1424210	+	843	784	117	428	298	1266	1417	340	564	897	805
CLUG_01921	Supercontig_1.2	1424994	1426310	+	1317	1868	230	907	579	1634	1322	866	1107	1364	1111
CLUG_01922	Supercontig_1.2	1427075	1427773	+	699	2444	348	1848	1695	1964	1330	2352	2719	2929	2538
CLUG_01923	Supercontig_1.2	1428249	1429712	+	1464	3747	465	2436	2215	3027	2902	2075	3048	3146	3010
CLUG_01924	Supercontig_1.2	1429937	1430434	+	498	997	134	780	539	1233	1073	767	803	835	950
CLUG_01925	Supercontig_1.2	1430469	1431866	-	1398	818	97	430	177	281	479	498	679	295	207
CLUG_01926	Supercontig_1.2	1432711	1433445	-	735	3316	412	1894	1123	3979	3178	2099	2620	3401	2618
CLUG_01927	Supercontig_1.2	1433872	1435914	-	2043	1420	249	838	489	1538	1268	836	1287	1576	1373
CLUG_01928	Supercontig_1.2	1436059	1437999	-	1941	1223	158	747	504	895	688	678	819	744	736
CLUG_01929	Supercontig_1.2	1438358	1438906	-	549	974	139	793	550	1097	805	725	880	1082	862
CLUG_01930	Supercontig_1.2	1439269	1440699	+	1431	1034	154	585	411	829	784	591	846	885	902
CLUG_01931	Supercontig_1.2	1441330	1442502	+	1173	1433	206	742	451	1217	1033	708	1115	1151	1212
CLUG_01932	Supercontig_1.2	1443215	1444645	+	1431	2402	321	1653	1286	2276	2242	1568	1889	2150	2012
CLUG_01933	Supercontig_1.2	1445032	1445955	+	924	1219	173	814	719	789	714	762	959	868	723
CLUG_01934	Supercontig_1.2	1447179	1448558	+	1380	10475	1199	9409	7793	9725	10125	7184	9221	8574	9183
CLUG_01935	Supercontig_1.2	1450981	1452312	+	1332	1272	165	688	623	1102	1044	819	911	1012	926
CLUG_01936	Supercontig_1.2	1453008	1453922	+	915	4749	557	2874	2350	2325	2139	2155	3308	2608	2897
CLUG_01937	Supercontig_1.2	1454562	1455818	-	1257	1755	166	731	361	1140	1371	566	938	1008	943
CLUG_01938	Supercontig_1.2	1458215	1459123	+	909	22257	4944	13072	2095	13203	14152	260	176	50	74
CLUG_01939	Supercontig_1.2	1459336	1459866	+	531	14197	3263	10512	1605	9006	9147	192	148	22	58
CLUG_01940	Supercontig_1.2	1460157	1460534	-	378	2618	403	2416	2419	2850	2074	2430	2539	3985	3707
CLUG_01941	Supercontig_1.2	1461576	1462364	-	789	41767	5120	22287	20173	44917	40369	19159	24532	39633	35790
CLUG_01942	Supercontig_1.2	1461582	1462229	+	648	35387	4432	18632	17198	37809	32795	17037	21377	34508	29900
CLUG_01943	Supercontig_1.2	1462819	1464708	+	1890	1577	192	1093	652	1555	2146	1003	1389	1469	1728
CLUG_01944	Supercontig_1.2	1466379	1467845	+	1467	5396	488	4156	5710	7207	11089	2956	4672	6402	8214
CLUG_01945	Supercontig_1.2	1469060	1470289	+	1230	5555	700	4757	2906	3715	3424	4283	4726	4117	4831
CLUG_01946	Supercontig_1.2	1471476	1472204	+	729	1471	185	794	204	1382	1360	705	915	1232	1020
CLUG_01947	Supercontig_1.2	1472628	1474148	-	1521	3824	528	3173	1955	4211	4899	2605	3007	3535	3956
CLUG_01948	Supercontig_1.2	1476956	1477888	+	933	94	50	179	138	695	467	356	152	133	157
CLUG_01949	Supercontig_1.2	1479377	1480747	+	1371	779	96	645	385	745	806	527	627	717	869
CLUG_01950	Supercontig_1.2	1480860	1482755	-	1896	9987	1229	5242	4305	5623	4865	4501	6774	5563	4550
CLUG_01951	Supercontig_1.2	1483443	1485434	-	1992	8641	969	2866	2683	4308	4278	3244	5537	4386	4334
CLUG_01952	Supercontig_1.2	1487665	1490238	+	2574	2420	317	1328	908	1355	937	1380	1806	1412	1205
CLUG_01953	Supercontig_1.2	1490915	1493311	+	2397	1567	266	995	591	1568	1736	1004	1576	1800	1820
CLUG_01954	Supercontig_1.2	1494470	1494979	-	510	33008	6346	50248	31233	45798	26572	60903	47844	44307	35624
CLUG_01955	Supercontig_1.2	1495085	1495672	-	588	1	1	2	6	3	4	3	5	0	3
CLUG_01956	Supercontig_1.2	1495341	1496012	-	672	1020	172	1353	1141	1252	1194	1384	1401	1150	1369
CLUG_01957	Supercontig_1.2	1496683	1498797	-	2115	4001	1020	11050	5857	8128	6327	12396	9021	7515	6802
CLUG_01958	Supercontig_1.2	1499524	1500354	+	831	1062	158	909	468	946	933	713	863	990	938
CLUG_01959	Supercontig_1.2	1501626	1502156	-	531	4840	566	2341	1589	5254	4655	2344	3272	4292	3761
CLUG_01960	Supercontig_1.2	1501719	1502264	+	546	5651	656	2732	1839	6029	4963	2712	3804	5049	4284
CLUG_01961	Supercontig_1.2	1503870	1506656	-	2787	4646	612	3390	2520	3428	2989	3029	3504	3324	3287
CLUG_01962	Supercontig_1.2	1507929	1508528	+	600	3508	398	2872	1937	3230	2955	2047	2572	2715	3005
CLUG_01963	Supercontig_1.2	1508961	1511735	-	2775	1826	266	981	587	1167	1179	924	1168	1308	1193
CLUG_01964	Supercontig_1.2	1512266	1514167	+	1902	923	120	528	242	444	438	463	586	590	526
CLUG_01965	Supercontig_1.2	1514863	1515930	+	1068	3473	539	2627	1874	5985	5601	2625	2869	3925	3732
CLUG_01966	Supercontig_1.2	1516298	1517242	-	945	5907	949	4129	4198	4867	3438	4038	4274	3636	3928
